Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
3,NRP,R1,1,VH,1,1,0N,0.633,NA,0.0389,0.0653,0.0424,0.0891,0.2976,0.4113,0.4162,0.1757,0.0894,0.4337
4,NRP,R1,1,VH,1,1,120N,0.827,NA,0.0339,0.0534,0.0361,0.0715,0.2642,0.3992,0.403,0.1558,0.0765,0.4188
5,NRP,R1,1,VH,1,1,60N,0.783,NA,0.0362,0.0569,0.0361,0.0741,0.2696,0.3944,0.4073,0.1578,0.0786,0.4136
6,NRP,R1,1,VH,1,2,240N,0.979,NA,0.0489,0.0758,0.0579,0.1008,0.2766,0.3739,0.386,0.2009,0.1085,0.4013
7,NRP,R1,1,VH,1,2,120N,0.642,NA,0.0488,0.0739,0.0561,0.1016,0.281,0.3799,0.3956,0.1988,0.1085,0.4053
8,NRP,R1,1,VH,1,2,180N,0.807,NA,0.0534,0.0802,0.0689,0.1132,0.2628,0.3406,0.349,0.2125,0.1225,0.3661
9,NRP,R1,1,VH,1,2,60N,0.652,NA,0.0378,0.0606,0.0397,0.0799,0.2814,0.4132,0.4222,0.1639,0.0801,0.4362
10,NRP,R1,1,VH,1,2,0N,0.573,NA,0.0396,0.0649,0.0409,0.0865,0.2868,0.3927,0.4097,0.1647,0.0806,0.4113
11,NRP,R1,1,VH,1,3,0N,0.644,NA,0.0379,0.0678,0.0415,0.0857,0.2995,0.4293,0.4463,0.1771,0.0897,0.4534
12,NRP,R1,1,VH,1,3,240N,0.865,NA,0.0413,0.0615,0.0436,0.0862,0.2831,0.4119,0.431,0.18,0.0911,0.434
